7/20/2004,100,rotten,Pete Vonder Haar,Cinderella,"At worst, it's an insult even to the intelligence of 12-year olds."
7/23/2004,50,rotten,Chris Hewitt (St. Paul),Cinderella,"This year's one-zillionth mean-girl movie, and that's not the only thing here that's played out."
8/3/2004,40,rotten,Neil Smith,Cinderella,"The result is pure pumpkin, though fans of squeaky-clean, helium-voiced Hilary Duff might fall under its sickly sweet spell."
8/19/2004,40,rotten,Anna Smith,Cinderella,"This is simple, lazy storytelling rendered merely functional by appealing leads and the eternal lure of romantic fantasy."
8/21/2004,100,rotten,Steve Newton,Cinderella,"A couple of cruel stepsisters are thrown in to push the Cinderella angle, but their asinine antics merely highlight first-time screenwriter Leigh Dunlap's stunning lack of talent and imagination."
9/16/2004,25,rotten,Mark Collette,Cinderella,"A benign, whimsical semblance of its namesake fairy tale."
11/4/2004,40,rotten,Anthony Del Valle,Cinderella,"'A Cinderella Story' makes so many good chocies, you wish you could like it more than you do."
1/10/2008,0,fresh,Kevin A. Ranson,Phoenix,"Only true fans of the books will notice many of these shortcomings, but I must hope that this was a fluke or misstep, not a sign of things to come."
6/13/2008,20,rotten,Amber Wilkinson,Cinderella,Charles Perrault must be spinning in his grave.
7/23/2008,100,fresh,Adam Tobias,Phoenix,"The Harry Potter movies that are based on J.K. Rowling's novels have gotten progressively darker with each entry, and Order of the Phoenix may quite possibly be the darkest one yet."
12/16/2008,100,fresh,Matt Noller,Cartel Land,Directors like Reed and Wilder created an environment of spatial and moral confusion in which their pulpy narratives could take on the ethical weight of a Biblical proverb.
2/2/2009,100,fresh,Tony Macklin,Phoenix,"Harry Potter and the Order of the Phoenix is a gripping, evocative movie. David Yates has two great strengths to apply to the project. He is cinematically adept, and character is a priority for him."
4/23/2009,50,rotten,Michael Atkinson,Phoenix,"The franchise staff (ostensibly led by Brit-TV director David Yates) dive right in, smooshing Rowling's biggest book into the shortest film and treating the rich subtext -- as well as much of the text -- as dispensable."
1/22/2010,60,fresh,Will Lawrence,Cop Car,"Despite strong performances from the leads, when it comes to pacing and power, it's the Danish original that edges it. Still, a sturdy and affecting remake that brings a powerful story to an even wider audience."
1/22/2010,40,rotten,Dave Calhoun,Cop Car,It takes two-thirds of the film for any scene of real emotional truth or power to emerge - and by then we're lost.
1/22/2010,60,fresh,,Cop Car,"If you like drama with big showdowns and plenty of heartbreak, there's plenty to enjoy here."
1/22/2010,40,rotten,Kevin Maher,Cop Car,Brothers is a movie of moments (some of which are fine indeed) that never quite coalesce into a credible or satisfying whole.
1/22/2010,40,rotten,Peter Bradshaw,Cop Car,Like mainstream Hollywood with a weird dollop of painful arthouse drama.
3/11/2010,60,fresh,Luis Martinez,Phoenix,"Ademas de la afortunada direccion, el que este episodio tuviera un buen resultado, era de esperarse. Con un presupuesto elevado, la mayor parte del elenco repitiendo y el talento histrionico de Emma Thompson, Alan Rickman, Ralph Fiennes, Helena Bonham Ca"
3/19/2010,80,fresh,Jim Slotek,The Beauty Inside,"In the end, Hubble is exactly what we watch IMAX for."
3/20/2010,100,fresh,Jennifer Merin,The Beauty Inside,"Follows seven astronauts on a mission to repair Hubble telescope, and if you don't find the ride absolutely thrilling, you lack imagination!"
3/20/2010,80,fresh,Gary Wolcott,The Beauty Inside,"Hubble is a wonderful machine, and this is a phenomenal movie."
3/21/2010,100,fresh,Thomas Caldwell,Cop Car,"While you would be better off tracking down a copy of the 2004 Danish film, this 2009 American remake still packs a punch where it counts."
3/25/2010,80,fresh,Anders Wotzke,Cop Car,Remakes this good are one in a million.
4/10/2010,100,fresh,Linda Cook,The Beauty Inside,"This, then, is how a star is born."
4/22/2010,75,fresh,Colin Covert,The Beauty Inside,"A zero-gravity repair job doesn't sound like a thrilling cinematic spectacle, but this 43-minute film is utterly gripping."
4/22/2010,75,fresh,Roger Ebert,The Beauty Inside,A movie like this can get you thinking.
4/23/2010,100,fresh,Chris Hewitt (St. Paul),The Beauty Inside,"What sent me over the boohooing edge was an overpoweringly beautiful shot of the astronauts at work with Hawaii 325 miles behind them, shimmering in the blue, blue Pacific."
4/30/2010,80,fresh,Jim Lane,The Beauty Inside,... a truly amazing trip ...
5/16/2010,75,fresh,Michael Dequina,Cop Car,Serves as a reminder that Maguire and Portman are more than up to the task of handling much weightier and demanding material.
7/4/2010,100,fresh,Cris Kennedy,Cop Car,"Brothers may look like another veteran adjusting to life at home movie, but the heart of this film is a rich exploration of family relationships."
10/21/2010,100,fresh,Simon Miraudo,Cop Car,"Brothers is that rare type of film; one that feels real and true, never forcing itself to conform to the expectations of what a movie should contain."
12/21/2010,80,fresh,Nell Minow,Cinderella,Funny and sweet update of the Cinderella story.
