American Sniper,350126372
The Hunger Games: Mockingjay - Part 1,337135885
Guardians of the Galaxy,333176600
Captain America: The Winter Soldier,259766572
The LEGO Movie,257760692
The Hobbit: The Battle of the Five Armies,255119788
Transformers: Age of Extinction,245439076
Maleficent,241410378
X-Men: Days of Future Past,233921534
Big Hero 6,222527828
Dawn of the Planet of the Apes,208545589
The Amazing Spider-Man 2,202853933
Godzilla (2014),200676069
22 Jump Street,191719337
Teenage Mutant Ninja Turtles (2014),191204754
Interstellar,188020017
How to Train Your Dragon 2,177002924
Gone Girl,167767189
Divergent,150947895
Neighbors,150157400
Ride Along,134938200
Rio 2,131538435
Into the Woods,128002372
Lucy,126663600
The Fault in our Stars,124872350
Unbroken,115637895
Night at the Museum: Secret of the Tomb,113746621
Mr. Peabody &amp; Sherman,111506430
300: Rise of An Empire,106580051
The Maze Runner,102427862
The Equalizer,101530738
Noah,101200044
Edge of Tomorrow,100206256
Non-Stop,92168600
Heaven is for Real,91443253
The Imitation Game,91125683
Dumb and Dumber To,86208010
Annie (2014),85911262
Fury (2014),85817906
Tammy,84525432
Annabelle,84273813
The Other Woman (2014),83911193
Penguins of Madagascar,83350911
Let's Be Cops,82390774
The Monuments Men,78031620
Hercules (2014),72688614
The Purge: Anarchy,71962800
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66954149
Think Like a Man Too,65182182
Exodus: Gods and Kings,65014513
The Nut Job,64251541
God's Not Dead,60755732
Son of God,59700064
Planes: Fire &amp; Rescue,59165787
The Grand Budapest Hotel,59100318
RoboCop (2014),58607007
Dracula Untold,56280355
Horrible Bosses 2,54445357
The Hundred-Foot Journey,54240821
No Good Deed (2014),52543632
Selma,52076908
Muppets Most Wanted,51183113
Ouija,50856010
The Boxtrolls,50837305
Jack Ryan: Shadow Recruit,50577412
If I Stay,50474843
The Book of Life (2014),50151543
About Last Night (2014),48637684
Into The Storm,47602194
The Judge,47119388
Jersey Boys,47047013
Blended,46294610
The Giver,45090374
St. Vincent,44137712
Need for Speed,43577636
A Million Ways to Die in the West,43139300
John Wick,43037835
Birdman,42340598
Dolphin Tale 2,42024533
The Expendables 3,39322544
Earth to Echo,38934842
Sex Tape,38543473
Wild (2014),37880356
Million Dollar Arm,36457627
The Theory of Everything,35893537
This is Where I Leave You,34296320
The Gambler,33680992
Paranormal Activity: The Marked Ones,32462372
Nightcrawler,32381217
Chef,31424003
Get On Up,30703100
3 Days to Kill,30697999
Deliver Us From Evil,30577122
When the Game Stands Tall,30127963
Draft Day,28842237
Oculus,27695246
The Best of Me,26766213
A Walk Among the Tombstones,26307600
That Awkward Moment,26068955
Boyhood,25352281
