Gone Girl,771360861,2267998,2014-10-03,87,88,Certified Fresh,R,2014,145,Mystery & Suspense,Drama,,	
Muppets Most Wanted,771321700,2281587,2014-03-21,59,78,Certified Fresh,PG,2014,107,Comedy, Kids & Family,,
When the Game Stands Tall,771355196,2247476,2014-08-22,73,17,Rotten,PG, 2014,115,Drama,,,
The Best of Me,770823179,,2004-12-31,0,-1,,Unrated,2004,,Musical & Performing Arts,,,
Paranormal Activity: The Marked Ones,771364044,2473682,2014-01-03,35,37,Rotten,R,2014,84,Horror,,,
Wild (2014),771366595,2305051,2014-12-03,76,90,Certified Fresh,R,2014,115,Drama,,,
The Monuments Men,771323155,2177771,2014-02-07,44,31,Rotten,PG-13,2014,118,Drama,Action & Adventure,,
Divergent,771378690,,2016-03-18,99,-1,,Unrated,2016,,Action & Adventure,Romance,Science Fiction & Fantasy,
A Walk Among the Tombstones,771367644,0365907,2014-09-19,54,65,Fresh,R,2014,114,Drama,Action & Adventure,,
Big Hero 6,771355766,2245084,2014-11-07,91,89,Certified Fresh,PG,2014,93,Animation,Kids & Family,,
Transformers: Age of Extinction,771269858,2109248,2014-06-27,52,18,Rotten,PG-13,2014,157,Action & Adventure,Science Fiction & Fantasy,,
Exodus: Gods and Kings,771356224,1528100,2014-12-12,36,27,Rotten,PG-13,2014,142,Drama,Classics,,
300: Rise of An Empire,771249085,1253867,2014-03-07,52,42,Rotten,R,2014,103,Drama,Action & Adventure,,
American Sniper,771357000,2179136,2015-01-16,85,72,Certified Fresh,R,2015,134,Drama,Action & Adventure,,
Planes: Fire & Rescue,771359012,,2014-07-18,57,44,Rotten,PG,2014,84,Animation,Kids & Family,,
Ouija,771373980,1204977,2014-10-24,25,7,Rotten,PG-13,2014,83,Action & Adventure,Horror,Mystery & Suspense,
The Hundred-Foot Journey,771359009,2980648,2014-08-08,81,68,Fresh,PG,2014,122,Drama,,,
No Good Deed (2014),771271279,2011159,2014-09-12,56,10,Rotten,PG-13,2014,84,Mystery & Suspense,,,
The Hobbit: The Battle of the Five Armies,771181360,2310332,2014-12-17,75,60,Fresh,R,2014,144, Action & Adventure,Science Fiction & Fantasy,,
Dolphin Tale 2,771359312,2978462,2014-09-12,73,67,Fresh,PG,2014,107,Drama,Kids & Family,,
This is Where I Leave You,771351531,1371150,2014-09-19,60,41,Rotten,R,2014,103,Comedy,,,
Noah,771415037,3411432,2015-07-17,40,20,Rotten,G,2015,85,Animation,Faith & Spirituality,,
About Last Night (2014),771323761,1826590,2014-02-14,65,69,Fresh,R,2014,100,Comedy, Romance,,
The Fault in our Stars,771365948,2582846,2014-06-06,85,80,Certified Fresh,PG-13,2014,125,Drama,Comedy,,
Horrible Bosses 2,771352288,2170439,2014-11-26,48,35,Rotten,R,2014,108,Comedy,,,
Jersey Boys,771361033,1742044,2014-06-20,62,52,Rotten,R,2014,134,Musical & Performing Arts,,,
Alexander and the Terrible,770909937,1698641,2014-10-10,59,62,Fresh,PG,2014,80,Kids & Family,,,
The Judge,771381304,2930144,,50,-1,,Unrated,2014,76,Art House & International,Mystery & Suspense,,
Ride Along,771376964,,2016-01-15,97,-1,,PG-13,2016,,Action & Adventure,Comedy,,
The Theory of Everything,770990024,,,100,-1,,Unrated,2006,86,Drama,,,
Annabelle,771373148,3322940,2014-10-03,37,29,Rotten,R,2014,98,Horror,,,
Think Like a Man Too,771358910,2238932,2014-06-20,60,23,Rotten,PG-13,2014,106,Comedy,Romance,,
