movie_title,earndate,earnings
Inside Out,6/26/2015,52300
Inside Out,7/3/2015,29800
Inside Out,7/10/2015,17700
Inside Out,7/17/2015,11500
Inside Out,7/24/2015,11500
Inside Out,7/31/2015,7400
Inside Out,8/7/2015,2700
Inside Out,8/14/2015,2000
Inside Out,8/21/2015,1600
Inside Out,8/28/2015,1300
Inside Out,9/4/2015,3200
Inside Out,9/11/2015,1500
Inside Out,9/18/2015,900
Inside Out,9/25/2015,400
Jurassic World,6/26/2015,54500
Jurassic World,7/3/2015,29200
Jurassic World,7/10/2015,18200
Jurassic World,7/17/2015,11500
Jurassic World,7/24/2015,7200
Jurassic World,7/31/2015,3900
Jurassic World,8/7/2015,1900
Jurassic World,8/14/2015,1200
Jurassic World,8/21/2015,900
Jurassic World,8/28/2015,3000
Jurassic World,9/4/2015,2700
Jurassic World,9/11/2015,1200
Jurassic World,9/18/2015,600
Jurassic World,9/25/2015,400
Max,6/26/2015,12200
Max,7/3/2015,6600
Max,7/10/2015,3500
Max,7/17/2015,1900
Max,7/24/2015,800
Max,7/31/2015,300
Max,8/7/2015,100
Max,8/14/2015,300
Max,8/21/2015,300
Max,8/28/2015,200
Max,9/4/2015,200
Max,9/11/2015,200
Max,9/18/2015,100
Max,9/25/2015,60.6
Spy,6/26/2015,7900
Spy,7/3/2015,5100
Spy,7/10/2015,3100
Spy,7/17/2015,1500
Spy,7/24/2015,800
Spy,7/31/2015,400
Spy,8/7/2015,400
Spy,8/14/2015,200
Spy,8/21/2015,200
Spy,8/28/2015,100
Spy,9/4/2015,100
Spy,9/11/2015,66.5
Spy,9/18/2015,72.7
Ted 2,6/26/2015,33500
Ted 2,7/3/2015,11200
Ted 2,7/10/2015,5700
Ted 2,7/17/2015,2600
Ted 2,7/24/2015,1000
Ted 2,7/31/2015,500
Ted 2,8/7/2015,200
Ted 2,8/14/2015,100
Ted 2,8/21/2015,64.9
Ted 2,8/28/2015,64.9
